GCMD UID	GCMD term	Similarity	SWEET term	SWEET IRI
08fd82a1-4370-46a2-82ea-94c0f91498a7	atmospheric pressure	1.00	atmospheric pressure	http://sweetontology.net/proppressure/atmosphericpressure
05cf5b56-0f86-4819-b713-1272b97b06c5	wind shear	1.00	wind shear	http://sweetontology.net/propspeed/windshear
061f7fd0-67af-42bf-bc9f-5a007c146f65	absorption	1.00	absorption	http://sweetontology.net/procchemical/absorption
061f7fd0-67af-42bf-bc9f-5a007c146f65	absorption	1.00	absorption	http://sweetontology.net/procwave/absorption
07ce145c-9936-4675-b4a7-8710e39aa391	sea level pressure	1.00	sea level pressure	http://sweetontology.net/proppressure/sealevelpressure
0c28d9e4-c848-4628-9c00-45a540707b59	dew point temperature	1.00	dew point temperature	http://sweetontology.net/proptemperature/dewpointtemperature
107582ef-a356-4afa-a9a4-4e1d2200c134	radiative flux	1.00	radiative flux	http://sweetontology.net/propenergyflux/radiativeflux
15029eb0-6342-4066-8ac9-c50f7dbfb392	water vapor	1.00	water vapor	http://sweetontology.net/matrwater/watervapor
226d05da-dd0b-4314-919a-0b259ce724b5	turbulence	1.00	turbulence	http://sweetontology.net/phenfluidinstability/turbulence
26fc4850-7ba9-44d8-a156-5c623e17b72f	evapotranspiration	1.00	evapotranspiration	http://sweetontology.net/propspacethickness/evapotranspiration
31a14270-6275-4155-961f-b78b60ee05f7	anisotropy	1.00	anisotropy	http://sweetontology.net/statespaceconfiguration/anisotropy
3afb06fa-96b7-4bf4-a6b7-b5fa626afc04	virtual temperature	1.00	virtual temperature	http://sweetontology.net/proptemperature/virtualtemperature
41f27172-14f6-4940-9b7b-f3d4db69e0c6	electric field	1.00	electric field	http://sweetontology.net/phenelecmag/electricfield
427e5121-a142-41cb-a8e9-a70b7f98eb6a	humidity	1.00	humidity	http://sweetontology.net/propfraction/humidity
46a3c823-727d-4c3c-b09d-e3e3fcaa43a5	heat flux	1.00	heat flux	http://sweetontology.net/propenergyflux/heatflux
48c16952-b6e0-40cd-b6dd-7cdbf5a443a1	albedo	1.00	albedo	http://sweetontology.net/propfraction/albedo
49c8770a-2eb7-40f1-aab0-9c12d3aed031	emissivity	1.00	emissivity	http://sweetontology.net/propfraction/emissivity
49fd6f11-5682-4d27-8fc6-66bf3faadf39	heat flux	1.00	heat flux	http://sweetontology.net/propenergyflux/heatflux
4fad64ce-32fe-413d-8b55-c78000d1980c	radiative forcing	1.00	radiative forcing	http://sweetontology.net/propenergyflux/radiativeforcing
5bac3ef6-5e30-4f14-a5dc-8065c7fcba55	radiational cooling	1.00	radiational cooling	http://sweetontology.net/phen/radiationalcooling
5c58acfc-04ed-4cbf-8674-13c41b3e950d	divergence	1.00	divergence	http://sweetontology.net/proptimefrequency/divergence
5d7e487d-0ec4-40ef-9811-401779c31794	differential pressure	1.00	differential pressure	http://sweetontology.net/proppressure/differentialpressure
622c44b4-e307-4c11-af4d-8104de7086e5	static pressure	1.00	static pressure	http://sweetontology.net/proppressure/staticpressure
637ac172-e624-4ae0-aac4-0d1adcc889a2	lightning	1.00	lightning	http://sweetontology.net/phenatmolightning/lightning
6433e330-3797-4cf9-a8ba-d26d39624459	photochemistry	1.00	photochemistry	http://sweetontology.net/humanknowledgedomain/photochemistry
661591b3-6685-4de7-a2a4-9ce8ae505044	wind speed	1.00	wind speed	http://sweetontology.net/propspeed/windspeed
714be1d7-2012-4a98-bdd5-02bbcadf69d8	transmittance	1.00	transmittance	http://sweetontology.net/propfraction/transmittance
731beb11-9418-40ec-8f2c-c4b320e8231a	dew point temperature	1.00	dew point temperature	http://sweetontology.net/proptemperature/dewpointtemperature
76103e17-59c2-4458-972d-9ff9801e5d32	dew point temperature	1.00	dew point temperature	http://sweetontology.net/proptemperature/dewpointtemperature
7a0bd777-be0d-43c8-80eb-5ac58f4832de	potential temperature	1.00	potential temperature	http://sweetontology.net/proptemperature/potentialtemperature
7e6f7c15-32e7-4b6e-bd35-7bff4bc03caf	gravity wave	1.00	gravity wave	http://sweetontology.net/phenwave/gravitywave
84780569-bef5-41fd-901f-828418e390dd	orographic lifting	1.00	orographic lifting	http://sweetontology.net/phenatmo/orographiclifting
858a80ff-5aa4-4590-b2e2-e88a802a6ee4	vorticity	1.00	vorticity	http://sweetontology.net/proprotation/vorticity
86c95fdb-17b9-4224-a020-b1aacbea00fd	sunshine	1.00	sunshine	http://sweetontology.net/statevisibility/sunshine
a0f3474e-9a54-4a82-97c4-43864b48df4c	solar radiation	1.00	solar radiation	http://sweetontology.net/propenergyflux/solarradiation
a1588b7d-7307-4543-9908-76d7877c4010	static temperature	1.00	static temperature	http://sweetontology.net/proptemperature/statictemperature
a2cc8e02-3207-4c40-af41-9656404bac0a	convergence	1.00	convergence	http://sweetontology.net/proptimefrequency/convergence
a5aa7055-642d-4442-9b4b-76a759e15257	hydrostatic pressure	1.00	hydrostatic pressure	http://sweetontology.net/proppressure/hydrostaticpressure
a92f49f3-e2ee-4ef4-b064-39311ffb95d3	wind speed	1.00	wind speed	http://sweetontology.net/propspeed/windspeed
b68ab978-6db6-49ee-84e2-5f37b461a998	evaporation	1.00	evaporation	http://sweetontology.net/procstatechange/evaporation
bdfd401f-7eed-4a48-bd6f-f0c2a890594a	reflectance	1.00	reflectance	http://sweetontology.net/propfraction/reflectance
be027470-35ab-4ebb-a213-5f557cca71c8	pressure thickness	1.00	pressure thickness	http://sweetontology.net/propspacethickness/pressurethickness
bf22e55d-fbff-4eaf-8592-68be24e2bc32	airglow	1.00	airglow	http://sweetontology.net/phenatmosky/airglow
bf22e55d-fbff-4eaf-8592-68be24e2bc32	airglow	1.00	airglow	http://sweetontology.net/phenhelio/airglow
cac28264-0788-49a9-bb6a-c2251b0b325c	total electron content	1.00	total electron content	http://sweetontology.net/propcount/totalelectroncontent
ce546f0d-d2e1-43ed-b8e0-a9079c690c56	advection	1.00	advection	http://sweetontology.net/phenfluidtransport/advection
d438f0a2-5a88-4d56-8bec-7c5e35249544	sublimation	1.00	sublimation	http://sweetontology.net/procstatechange/sublimation
d7fbbafe-fc73-4b63-9837-3d53d2370d9d	condensation	1.00	condensation	http://sweetontology.net/procstatechange/condensation
ebbf8642-3da1-4401-a779-3e56550a029d	cloud condensation nuclei	1.00	cloud condensation nuclei	http://sweetontology.net/matraerosol/cloudcondensationnuclei
ebce0874-7635-4094-8ef4-968851873771	convection	1.00	convection	http://sweetontology.net/phenfluidtransport/convection
ec9e0b6a-1315-4569-93bc-0f1190bb8c08	scattering	1.00	scattering	http://sweetontology.net/procwave/scattering
fa98caa0-54dc-465e-9bde-cdf4da905994	pressure tendency	1.00	pressure tendency	http://sweetontology.net/proppressure/pressuretendency
fd19a3f1-8eeb-49ab-bcaf-e7b4b267d415	virtual temperature	1.00	virtual temperature	http://sweetontology.net/proptemperature/virtualtemperature
ecf29317-bd5e-447b-b911-f8bfb153c83b	calibration	1.00	calibration	http://sweetontology.net/reprdataservicevalidation/calibration
b283a59c-0e9a-469c-baf4-591b64cd4671	validation	1.00	validation	http://sweetontology.net/humanresearch/validation
b283a59c-0e9a-469c-baf4-591b64cd4671	validation	1.00	validation	http://sweetontology.net/reprdataservicevalidation/validation
c75db4f8-716c-47a8-a2f4-34e5a48296b0	archiving	1.00	archiving	http://sweetontology.net/reprdataproduct/archiving
e8e3ba6c-599e-4d7d-b498-93b15c32d820	interpolation	1.00	interpolation	http://sweetontology.net/reprdataserviceanalysis/interpolation
