NASAThes URI:	NASAThes term	Similarity	SWEET term	SWEET URI
http://synaptica.net/zthes/60493	ablation	1.00	ablation	http://sweetontology.net/phensolid/ablation
http://synaptica.net/zthes/60495	abrasion	1.00	abrasion	http://sweetontology.net/phengeolgeomorphology/abrasion
http://synaptica.net/zthes/60495	abrasion	1.00	abrasion	http://sweetontology.net/procphysical/abrasion
http://synaptica.net/zthes/60498	absorptance	1.00	absorptance	http://sweetontology.net/propfraction/absorptance
http://synaptica.net/zthes/182155	absorption coefficient	1.00	absorption coefficient	http://sweetontology.net/propenergyflux/absorptioncoefficient
http://synaptica.net/zthes/60503	absorptivity	1.00	absorptivity	http://sweetontology.net/propfraction/absorptivity
http://synaptica.net/zthes/60504	abundance	1.00	abundance	http://sweetontology.net/propchemical/abundance
http://synaptica.net/zthes/182159	acceptance	1.00	acceptance	http://sweetontology.net/reprdataservicevalidation/acceptance
http://synaptica.net/zthes/182160	accretion	1.00	accretion	http://sweetontology.net/phensolid/accretion
http://synaptica.net/zthes/60518	accuracy	1.00	accuracy	http://sweetontology.net/prop/accuracy
http://synaptica.net/zthes/37889	acetonitrile	1.00	acetonitrile	http://sweetontology.net/matrorganiccompound/acetonitrile
http://synaptica.net/zthes/60521	acid rain	1.00	acid rain	http://sweetontology.net/phenatmotransport/acidrain
http://synaptica.net/zthes/37899	acidity	1.00	acidity	http://sweetontology.net/propchemical/acidity
http://synaptica.net/zthes/60532	acoustics	1.00	acoustics	http://sweetontology.net/phenwave/acoustics
http://synaptica.net/zthes/37944	activation	1.00	activation	http://sweetontology.net/phenreaction/activation
http://synaptica.net/zthes/60543	adaptation	1.00	adaptation	http://sweetontology.net/phenecology/adaptation
http://synaptica.net/zthes/60551	adsorption	1.00	adsorption	http://sweetontology.net/procchemical/adsorption
http://synaptica.net/zthes/60555	advection	1.00	advection	http://sweetontology.net/phenfluidtransport/advection
http://synaptica.net/zthes/38018	aeration	1.00	aeration	http://sweetontology.net/phenmixing/aeration
http://synaptica.net/zthes/38020	aerial photography	1.00	aerial photography	http://sweetontology.net/reprscimethodology/aerialphotography
http://synaptica.net/zthes/38103	agitation	1.00	agitation	http://sweetontology.net/procphysical/agitation
http://synaptica.net/zthes/38106	agriculture	1.00	agriculture	http://sweetontology.net/humanagriculture/agriculture
http://synaptica.net/zthes/60586	air	1.00	air	http://sweetontology.net/matr/air
http://synaptica.net/zthes/60595	air pollution	1.00	air pollution	http://sweetontology.net/phenatmosky/airpollution
http://synaptica.net/zthes/60595	air pollution	1.00	air pollution	http://sweetontology.net/phenenvirimpact/airpollution
http://synaptica.net/zthes/38145	air quality	1.00	air quality	http://sweetontology.net/phenatmosky/airquality
http://synaptica.net/zthes/38145	air quality	1.00	air quality	http://sweetontology.net/phenenvirimpact/airquality
http://synaptica.net/zthes/38153	air traffic	1.00	air traffic	http://sweetontology.net/humantransportation/airtraffic
http://synaptica.net/zthes/60597	air traffic control	1.00	air traffic control	http://sweetontology.net/humantransportation/airtrafficcontrol
http://synaptica.net/zthes/60598	air transportation	1.00	air transportation	http://sweetontology.net/humantransportation/airtransportation
http://synaptica.net/zthes/60616	airglow	1.00	airglow	http://sweetontology.net/phenatmosky/airglow
http://synaptica.net/zthes/60616	airglow	1.00	airglow	http://sweetontology.net/phenhelio/airglow
http://synaptica.net/zthes/38234	airspeed	1.00	airspeed	http://sweetontology.net/propspeed/airspeed
http://synaptica.net/zthes/60624	albedo	1.00	albedo	http://sweetontology.net/propfraction/albedo
http://synaptica.net/zthes/60627	algae	1.00	algae	http://sweetontology.net/matrmicrobiota/algae
http://synaptica.net/zthes/182273	algal bloom	1.00	algal bloom	http://sweetontology.net/phenenvirimpact/algalbloom
http://synaptica.net/zthes/60631	alkalinity	1.00	alkalinity	http://sweetontology.net/propchemical/alkalinity
http://synaptica.net/zthes/60633	alluvium	1.00	alluvium	http://sweetontology.net/matrsediment/alluvium
http://synaptica.net/zthes/38323	altimetry	1.00	altimetry	http://sweetontology.net/reprscimethodology/altimetry
http://synaptica.net/zthes/60640	altitude	1.00	altitude	http://sweetontology.net/propspaceheight/altitude
